tu 	tu 	tun 	VER
ar 	ar 	ohr 	SUB
abbrechen 	abbrechen 	brechen 	VER
abganc 	abganc 	gang 	SUB
abgehauwen 	abgehauwen 	hauen 	VER
abgehaw 	abgehaw 	hauen 	VER
abgehawen 	abgehawen 	hauen 	VER
abgehawenen 	abgehawenen 	hauen 	VER
abgehawe̅ 	abgehawe̅ 	hauen 	VER
abgehowen 	abgehowen 	hauen 	VER
abgehowe̅ 	abgehowe̅ 	hauen 	VER
abgeschnite̅ 	abgeschnite̅ 	schneiden 	VER
abgeschnittenn 	abgeschnittenn 	schneiden 	VER
abgestellet 	abgestellet 	stellen 	VER
abgestoche̅ 	abgestoche̅ 	stechen 	VER
abgetuͦn 	abgetuͦn 	tun 	VER
abgezogen 	abgezogen 	ziehen 	VER
abgezoge̅ 	abgezoge̅ 	ziehen 	VER
abgie̅g 	abgie̅g 	gehen 	VER
abkuͦmen 	abkuͦmen 	kommen 	VER
ablauffest 	ablauffest 	laufen 	VER
abschabenn 	abschabenn 	schaben 	VER
abschniden 	abschniden 	schneiden 	VER
absniden 	absniden 	schneiden 	VER
abstelt 	abstelt 	stellen 	VER
abthuͦst 	abthuͦst 	tun 	VER
abwirfet 	abwirfet 	werfen 	VER
abzelauffen 	abzelauffen 	laufen 	VER
abzelegen 	abzelegen 	legen 	VER
abzusetzen 	abzusetzen 	setzen 	VER
abzuͦschere̅ 	abzuͦschere̅ 	scheren1 	VER
abzuͦschlagen 	abzuͦschlagen 	schlagen 	VER
abzuͦsniden 	abzuͦsniden 	schneiden 	VER
abzüsnide̅ 	abzüsnide̅ 	schneiden 	VER
abzuͦstellen 	abzuͦstellen 	stellen 	VER
abzuͦziehenn 	abzuͦziehenn 	ziehen 	VER
ab 	ab 	wecheslung 	SUB
ab`erwint 	ab`erwint 	wind 	SUB
abba 	abba 	abba 	SUB
abbend 	abbend 	benden 	VER
abbet 	abbet 	abt 	SUB
abbete 	abbete 	abt 	SUB
abbilden 	abbilden 	bilden 	VER
abbildet 	abbildet 	bilden 	VER
abbildung 	abbildung 	bildung 	SUB
abbildungen 	abbildungen 	bildung 	SUB
abbrechen 	abbrechen 	brechen 	VER
abbruch 	abbruch 	bruch 	SUB
abbruchs 	abbruchs 	bruch 	SUB
abbt 	abbt 	abt 	SUB
abbte 	abbte 	abt 	SUB
abbten 	abbten 	abt 	SUB
abbts 	abbts 	abt 	SUB
abdanckung 	abdanckung 	abdankung 	SUB
abdruͤkken 	abdruͤkken 	drücken 	VER
abedune 	abedune 	tun 	VER
abefegen 	abefegen 	fegen 	VER
abege 	abege 	gán 	VER
abegenomen 	abegenomen 	nehmen 	VER
abeget 	abeget 	gán 	VER
abegon 	abegon 	gán 	VER
abegyngk 	abegyngk 	gehen 	VER
abeinzieen 	abeinzieen 	ziehen 	VER
abekere 	abekere 	kehren1 	VER
abekerende 	abekerende 	kehren1 	VER
abelosen 	abelosen 	lassen 	VER
abenemen 	abenemen 	nehmen 	VER
abenemes 	abenemes 	nehmen 	SUB
abenemest 	abenemest 	nehmen 	VER
abestan 	abestan 	stán 	VER
abesyen 	abesyen 	seihen 	VER
abetreiben 	abetreiben 	treiben 	VER
abetus 	abetus 	tun 	VER
abewyschet 	abewyschet 	wischen 	VER
abeziegen 	abeziegen 	ziehen 	VER
abeziehn 	abeziehn 	ziehen 	VER
abezien 	abezien 	ziehen 	VER
abedes 	abedes 	abend 	SUB
abekeret 	abekeret 	kehren1 	VER
abend 	abend 	abend 	SUB
abendpredigen 	abendpredigen 	predigt 	SUB
abendstern 	abendstern 	stern 	SUB
abendsternlein 	abendsternlein 	sternlein 	SUB
abende 	abende 	abend 	SUB
abendes 	abendes 	abend 	SUB
abendmal 	abendmal 	mahl 	SUB
abendmals 	abendmals 	mahl 	SUB
abends 	abends 	abend 	SUB
abendt 	abendt 	abend 	SUB
abendtheuͦr 	abendtheuͦr 	abenteuer 	SUB
abendtmal 	abendtmal 	mahl 	SUB
abendtmals 	abendtmals 	mahl 	SUB
abendtmel 	abendtmel 	mahl 	SUB
abenemen 	abenemen 	nehmen 	VER
abenemes 	abenemes 	nehmen 	SUB
abent 	abent 	abend 	SUB
abenteur 	abenteur 	abenteuer 	SUB
abentezzen 	abentezzen 	essen 	SUB
abentheuerliche 	abentheuerliche 	abenteuerlich 	ADJ
abentheur 	abentheur 	abenteuer 	SUB
abentheurliche 	abentheurliche 	abenteuerlich 	ADJ
abenthewern 	abenthewern 	abenteuer 	SUB
abentmal 	abentmal 	mahl 	SUB
abentmals 	abentmals 	mahl 	SUB
abents 	abents 	abend 	SUB
abentz 	abentz 	abend 	SUB
aberglauben 	aberglauben 	glaube 	SUB
aberglaͤubigen 	aberglaͤubigen 	gläubig 	ADJ
aberglaͤubisch 	aberglaͤubisch 	gläubisch 	ADJ
aberglaͤubische 	aberglaͤubische 	gläubisch 	ADJ
aberglaͤubisches 	aberglaͤubisches 	gläubisch 	ADJ
abergloͤubigen 	abergloͤubigen 	gläubig 	ADJ
abeschidet 	abeschidet 	scheiden 	VER
abeslahen 	abeslahen 	schlagen 	VER
abesnidunge 	abesnidunge 	abschneidung 	SUB
abfahren 	abfahren 	fahren 	VER
abfall 	abfall 	fall1 	SUB
abfallen 	abfallen 	fallen 	VER
abfallung 	abfallung 	vallunge 	SUB
abfart 	abfart 	fahrt 	SUB
abfassen 	abfassen 	fassen 	VER
abfaͤllt 	abfaͤllt 	fallen 	VER
abfaͤrtigung 	abfaͤrtigung 	fertigung 	SUB
abfertigung 	abfertigung 	fertigung 	SUB
abfielen 	abfielen 	fallen 	VER
abfleung 	abfleung 	vlæwunge 	SUB
abflewng 	abflewng 	vlæwunge 	SUB
abfluß 	abfluß 	fluß 	SUB
abfodern 	abfodern 	fordern 	VER
abfolgen 	abfolgen 	folgen 	VER
abforden 	abforden 	fordern 	SUB
abforderen 	abforderen 	fordern 	VER
abfordert 	abfordert 	fordern 	VER
abfressen 	abfressen 	fressen 	VER
abfuhr 	abfuhr 	fahren 	VER
abfuͤre 	abfuͤre 	führen 	VER
abfuͤren 	abfuͤren 	führen 	VER
abganck 	abganck 	gang 	SUB
abgang 	abgang 	gang 	SUB
abgang 	abgang 	gehen 	VER
abgange 	abgange 	gang 	SUB
abgangen 	abgangen 	gehen 	VER
abganngen 	abganngen 	gehen 	VER
abgeben 	abgeben 	geben 	VER
abgebildet 	abgebildet 	bilden 	VER
abgeborgt 	abgeborgt 	borgen 	VER
abgebrandt 	abgebrandt 	brennen 	VER
abgebrauchten 	abgebrauchten 	brauchen 	VER
abgebrochen 	abgebrochen 	brechen 	VER
abgebrochenen 	abgebrochenen 	brechen 	VER
abgedancket 	abgedancket 	danken 	VER
abgedanckt 	abgedanckt 	danken 	VER
abgedrungen 	abgedrungen 	dringen 	VER
abgee 	abgee 	gán 	VER
abgeessen 	abgeessen 	essen 	VER
abgeet 	abgeet 	gán 	VER
abgefahren 	abgefahren 	fahren 	VER
abgefallen 	abgefallen 	fallen 	VER
abgefallenen 	abgefallenen 	fallen 	VER
abgefallnen 	abgefallnen 	fallen 	VER
abgefast 	abgefast 	fassen 	VER
abgefaͤrtigt 	abgefaͤrtigt 	fertigen 	VER
abgefaͤumter 	abgefaͤumter 	veimen 	VER
abgefeilen 	abgefeilen 	feilen 	VER
abgefeilt 	abgefeilt 	feilen 	VER
abgefertiget 	abgefertiget 	fertigen 	VER
abgefertigt 	abgefertigt 	fertigen 	VER
abgeflossen 	abgeflossen 	fließen 	VER
abgefordert 	abgefordert 	fordern 	VER
abgeführet 	abgeführet 	führen 	VER
abgegeben 	abgegeben 	geben 	VER
abgehalten 	abgehalten 	halten 	VER
abgehandlet 	abgehandlet 	handeln 	VER
abgehauwen 	abgehauwen 	hauen 	VER
abgehawe̅ 	abgehawe̅ 	hauen 	VER
abgehen 	abgehen 	gán 	VER
abgehn 	abgehn 	gán 	VER
abgelauffen 	abgelauffen 	laufen 	VER
abgelauffenen 	abgelauffenen 	laufen 	VER
abgelebten 	abgelebten 	leben 	VER
abgelegenen 	abgelegenen 	liegen 	VER
abgeleget 	abgeleget 	legen 	VER
abgelegnen 	abgelegnen 	liegen 	VER
abgelegt 	abgelegt 	legen 	VER
abgelegtem 	abgelegtem 	legen 	VER
abgeleibet 	abgeleibet 	leiben 	VER
abgeloffen 	abgeloffen 	laufen 	VER
abgemahlet 	abgemahlet 	malen 	VER
